Angle of Attack,Cx,Cy,Cn,Ck
0,-0.604677,0.000000,0.000000,0.000000
10,-0.635542,0.132825,0.006190,0.192357
20,-0.703520,0.261127,0.011827,0.377806
30,-0.751054,0.381635,0.016206,0.552221
40,-0.725309,0.492534,0.018397,0.714589
50,-0.611392,0.592413,0.017312,0.864340
60,-0.438900,0.678698,0.011919,0.997574
70,-0.258621,0.746845,0.001558,1.105156
80,-0.107076,0.791087,-0.013723,1.174611
90,0.015393,0.806484,-0.032925,1.195160
100,0.137863,0.791087,-0.054036,1.162958
110,0.289408,0.746845,-0.074206,1.083255
120,0.469687,0.678698,-0.090157,0.968066
130,0.642179,0.592413,-0.098764,0.830785
140,0.756096,0.492534,-0.097679,0.681034
150,0.781841,0.381635,-0.085870,0.522714
160,0.734307,0.261127,-0.063937,0.355905
170,0.666329,0.132825,-0.034123,0.180704
180,0.635463,0.000000,-0.000000,0.000000
