a,Cx,Cy,Cn,Ck,,,,a,Cx,Cy,Cn,Ck
0,-0.604677,0,0,0,,,,0,-0.604677,0,0,0
15,-0.66811,0.197784,0.009116,0.286288,,,,15,-0.66811,0.197784,0.09116,0.286288
30,-0.751054,0.381635,0.016206,0.552221,,,,30,-0.751054,0.381635,0.16206,0.552221
45,-0.678413,0.543969,0.018334,0.791169,,,,45,-0.678413,0.543969,0.18334,0.791169
60,-0.4389,0.678698,0.011919,0.997574,,,,60,-0.4389,0.678698,0.11919,0.997574
75,-0.178317,0.772311,-0.005506,1.145432,,,,75,-0.178317,0.772311,-0.05506,1.145432
90,0.015393,0.806484,-0.032925,1.19516,,,,90,0.015393,0.806484,-0.32925,1.19516
105,0.209104,0.772311,-0.064439,1.128396,,,,105,0.209104,0.772311,-0.64439,1.128396
120,0.469687,0.678698,-0.090157,0.968066,,,,120,0.469687,0.678698,-0.90157,0.968066
135,0.7092,0.543969,-0.099534,0.757096,,,,135,0.7092,0.543969,-0.99534,0.757096
150,0.781841,0.381635,-0.08587,0.522714,,,,150,0.781841,0.381635,-0.8587,0.522714
165,0.698897,0.197784,-0.049817,0.269252,,,,165,0.698897,0.197784,-0.49817,0.269252
180,0.635463,0,0,0,,,,180,0.635463,0,0,0
